N,time_simple,time_sorted
100,0,0.5
5100,29.7,16.6
10100,112.4,30.7
15100,258.7,47.9
20100,445.6,61.1
25100,688.6,76.3
30100,977.9,92.2
35100,1334.1,107.4
40100,1736.1,128.6
45100,2210.1,150.4
50100,2727.3,152.3
55100,3288.4,173.5
60100,3898.2,182.8
65100,4577.3,198.1
70100,5312.2,214
75100,6085.6,241.6
80100,7045.5,244
85100,7867.8,261.5
90100,8804.5,275.5
95100,9762.9,295.8
100100,10827.8,305.3
105100,11931.5,321.1
110100,13162.3,347.2
115100,14312.7,352.3
120100,15553.5,366.2
125100,16873.9,382.9
130100,18314.8,396.5
135100,19705.4,412
140100,21186.3,428.1
145100,22680.7,460.4
150100,24287.5,457.7
155100,25876.9,477.1
160100,27821.9,495.7
165100,30824.6,776.4
170100,35711.7,518.5
175100,33003.4,533.7
180100,35116,549.4
185100,37025.6,567.6
190100,39220.8,580.1
195100,44112.2,644.1
200100,51984.5,995.2
205100,45379.5,629
210100,47579.2,640.3
215100,49695.7,664.7
220100,52197.4,678.5
225100,54688.7,686.7
230100,57100.9,701.6
235100,59600.5,724.8
240100,61969.7,731.5
245100,64530.5,746.6
250100,67124.2,761.9
